Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1,60,5,65,8450,2,0,3,3,3,3,3,5,1,1,3,4,7,5,2003,2003,2,2,14,14,3,196,3,2,3,4,3,1,6,706,1,0,150,856,4,4,1,2,856,854,0,1710,1,0,2,1,3,1,3,8,7,0,0,5,2003,2,2,548,3,3,2,0,61,0,0,0,0,0,0,0,0,2,2008,9,5,208500
2,20,5,80,9600,2,0,3,3,3,4,3,24,2,1,3,3,6,8,1976,1976,2,2,8,8,1,0,2,2,2,4,3,4,5,978,1,0,284,1262,4,4,1,2,1262,0,0,1262,0,1,2,0,3,1,2,6,7,1,3,5,1976,2,2,460,3,3,2,298,0,0,0,0,0,0,0,0,0,5,2007,9,5,181500
3,60,5,68,11250,2,0,2,3,3,3,3,5,1,1,3,4,7,5,2001,2002,2,2,14,14,3,162,3,2,3,4,3,2,6,486,1,0,434,920,4,4,1,2,920,866,0,1786,1,0,2,1,3,1,3,6,7,1,3,5,2001,2,2,608,3,3,2,0,42,0,0,0,0,0,0,0,0,9,2008,9,5,223500
4,70,5,60,9550,2,0,2,3,3,2,3,6,1,1,3,4,7,5,1915,1970,2,2,15,16,1,0,2,2,1,3,4,1,5,216,1,0,540,756,4,3,1,2,961,756,0,1717,1,0,1,0,3,1,3,7,7,1,4,1,1998,1,3,642,3,3,2,0,35,272,0,0,0,0,0,0,0,2,2006,9,0,140000
5,60,5,84,14260,2,0,2,3,3,4,3,13,1,1,3,4,8,5,2000,2000,2,2,14,14,3,350,3,2,3,4,3,3,6,655,1,0,490,1145,4,4,1,2,1145,1053,0,2198,1,0,2,1,4,1,3,9,7,1,3,5,2000,2,3,836,3,3,2,192,84,0,0,0,0,0,0,0,0,12,2008,9,5,250000
6,50,5,85,14115,2,0,2,3,3,3,3,11,1,1,3,2,5,5,1993,1995,2,2,14,14,1,0,2,2,5,4,3,1,6,732,1,0,64,796,4,4,1,2,796,566,0,1362,1,0,1,1,1,1,2,5,7,0,0,5,1993,1,2,480,3,3,2,40,30,0,320,0,0,0,3,2,700,10,2009,9,5,143000
7,20,5,75,10084,2,0,3,3,3,3,3,21,1,1,3,3,8,5,2004,2005,2,2,14,14,5,186,3,2,3,5,3,3,6,1369,1,0,317,1686,4,4,1,2,1694,0,0,1694,1,0,2,0,3,1,3,7,7,1,4,5,2004,2,2,636,3,3,2,255,57,0,0,0,0,0,0,0,0,8,2007,9,5,307000
8,60,5,0,10382,2,0,2,3,3,2,3,16,6,1,3,4,7,6,1973,1973,2,2,6,6,5,240,2,2,2,4,3,2,5,859,4,32,216,1107,4,4,1,2,1107,983,0,2090,1,0,2,1,3,1,2,7,7,2,3,5,1973,2,2,484,3,3,2,235,204,228,0,0,0,0,0,2,350,11,2009,9,5,200000
9,50,7,51,6120,2,0,3,3,3,3,3,17,3,1,3,2,7,5,1931,1950,2,2,3,16,1,0,2,2,1,3,3,1,1,0,1,0,952,952,4,3,1,4,1022,752,0,1774,0,0,2,0,2,2,2,8,6,2,3,1,1931,1,2,468,2,3,2,90,0,205,0,0,0,0,0,0,0,4,2008,9,0,129900
10,190,5,50,7420,2,0,3,3,3,2,3,3,3,3,2,1,5,6,1939,1950,2,2,8,8,1,0,2,2,1,3,3,1,6,851,1,0,140,991,4,4,1,2,1077,0,0,1077,1,0,1,0,2,2,2,5,7,2,3,5,1939,2,1,205,4,3,2,0,4,0,0,0,0,0,0,0,0,1,2008,9,5,118000
